index,brs_id,Направление,Основа,Формирующее подразделение (институт),Формирующее подразделение (департамент),Курс,Год начала,Срок освоения,Средняя оценка ,Средняя оценка по первой сдаче,Код,ОКСО,Направление.1,Уровеь,Уровень,Форма,Олимпиада,Физическая культура,Рисунок,Химия,География,Информатика и ИКТ,История,Математика,Композиционный рисунок,Композиция,Рисунок и композиция,Русский язык,Творческий конкурс,Собеседование,Филология (отечественная),Творческое сочинение,Литература,Филология,Биология,Физика,Академический рисунок,Обществознание,Английский язык,Вступительный экзамен по программе,Иностранный язык,История искусств,Final Avg,Final Exam Avg,HW Avg,TC Avg,id,ig Avg,metrology Avg,ng Avg,sootv Avg,stand Avg,termodin Avg,username,БП Avg,ДЗ Avg,ДР Avg,Дз1 Avg,Дз2 Avg,З Avg,ИЗ Avg,ИТ Avg,КЗ Avg,ПЗ Avg,Практ Avg,РТ Avg,Т Avg,ТЗ Avg,Тест Avg,УЗ Avg
3443,studen18ggl5g0000kvru6b8n8c2meqg,uncass18ggl5g0000kaq58q3ikk2rn18,госбюджетное место,Новых материалов и технологий,Металлургии и металловедения,3,2015,5.0,0.0,0.0,22.00.00,22.03.02,Металлургия,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250246,0.0,0.0,0.0,0.0,0.0,0.0,KirillovKU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4928,studen18ggl5g0000ku9jb35due8lgoc,uncass18ggl5g0000kaipmif6n0kp620,госбюджетное место,Физико-технологический,0,3,2015,4.0,74.69,74.69,39.00.00,39.03.02,Социальная работа,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153396,0.0,0.0,0.0,0.0,0.0,0.0,Elena8888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3618,studen18hc2jg0000lcvfot4s73ptajs,uncass18ggl5g0000kaelr9ms9n3lec4,госбюджетное место,Химико-технологический,0,2,2016,4.0,78.89,79.75,18.00.00,18.03.01,Химическая технология,62,Бакалавр,Очная,0,0.0,0.0,78.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242795,0.0,0.0,0.0,0.0,0.0,0.0,emaxelena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5652,studen18ggl5g0000ku9o845fee7i8ls,uncass18ggl5g0000kanucd5n9ct01uo,госбюджетное место,Радиоэлектроники и информационных технологий - РТФ,Школа бакалавриата,3,2015,4.0,62.06,69.94,09.00.00,09.03.01,Информатика и вычислительная техника,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,73.0,0.0,74.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826086957,0.0,0.996794872,0.0,26133,0.0,0.0,0.0,0.0,0.0,0.0,Antonabrosimov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3317,studen18hc2jg0000lrqalkbkd8f7364,uncass18ggl5g0000kaqv9oh6kqhp7g8,сверхплановое место,Уральский гуманитарный институт,Лингвистики,1,2017,4.0,0.0,0.0,45.00.00,45.03.02,Лингвистика,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,152721,0.0,0.0,0.0,0.0,0.0,0.0,ItachiFoxy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5645,studen18ggl5g0000ku9np27niqdlh6c,uncass18ggl5g0000kaqv9oh6kqhp7g8,сверхплановое место,Уральский гуманитарный институт,Лингвистики,3,2015,4.0,74.79,74.79,45.00.00,45.03.02,Лингвистика,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,324997,0.0,0.0,0.0,0.0,0.0,0.0,yanakushn,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966235632
5589,studen18ggl5g0000kgm6v98evq3m89o,uncass18hc2jg0000ll4qhms6f7icapg,сверхплановое место,Уральский гуманитарный институт,Филологический факультет,2,2016,4.0,59.92,60.78,45.00.00,45.03.01,Филология,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,136727,0.0,0.0,0.0,0.0,0.0,0.0,polina_gorchakova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4627,studen18hc2jg0000le8qk2chkf67i8s,uncass18hc2jg0000l7p7ic17qrmgvi0,госбюджетное место,Естественных наук и математики,Школа наук,2,2016,3.0,0.0,0.0,05.00.00,05.06.01,Науки о земле,70,Аспирант,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333333,0.0,307903,0.0,0.0,0.0,0.0,0.0,0.0,al_kon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4516,studen18hc2jg0000lfkjv9tpeoit6so,uncass18ggl5g0000kail4d1g44ti8bs,сверхплановое место,Строительный,0,2,2016,3.6,0.0,0.0,08.00.00,08.03.01,Строительство,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222770,0.0,0.0,0.0,0.0,0.0,0.0,VoronkovaOO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.005128205,0.0,0.0,0.0
3315,studen18hc2jg0000lrqalkbkd8f7364,uncass18ggl5g0000kaqv9oh6kqhp7g8,сверхплановое место,Уральский гуманитарный институт,Лингвистики,1,2017,4.0,0.0,0.0,45.00.00,45.03.02,Лингвистика,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,318346,0.0,0.0,0.0,0.0,0.0,0.0,Anastasiya2804,0.0,0.0,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269,studen18hc2jg0000leb2o47cbkaaors,uncass18hc2jg0000l8f6fufses4mc20,госбюджетное место,Уральский гуманитарный институт,Политологии и социологии,2,2016,2.6,0.0,0.0,39.00.00,39.04.01,Социология,68,Магистр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152454,0.0,0.0,0.0,0.0,0.0,0.0,ant_annv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4541,studenfs000080000i6u6usdqblf1afg,uncass18ggl5g0000j12bmbf0dsctoh8,сверхплановое место,Строительный,0,5,2013,5.0,0.0,0.0,08.00.00,08.03.01,Строительство,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146136,0.0,0.0,0.0,0.0,0.0,0.0,Matsumoto369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2544,studen18ggl5g0000ku9lpvthlplqe3k,uncass18ggl5g0000kain5r6tcncdli8,госбюджетное место,Новых материалов и технологий,Машиностроения,3,2015,4.0,83.46,83.46,15.00.00,15.03.01,Машиностроение,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352900000001,88643,0.0,0.0,0.0,0.0,0.0,0.0,luzhbinamasha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5441,studen18ggl5g0000kfv7pjochb2q84k,uncass18ggl5g0000kaio552smv9cm3o,госбюджетное место,Уральский энергетический,0,4,2014,4.0,79.15,88.43,13.00.00,13.03.02,Электроэнергетика и электротехника,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86165,0.0,0.0,0.0,0.0,0.0,0.0,id244318882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3408,studen18hc2jg0000lrqb7q70cg68kpc,uncass18ggl5g0000kaqv8l9b6fegm8o,сверхплановое место,Уральский гуманитарный институт,Международных отношений,1,2017,4.0,0.0,0.0,41.00.00,41.03.03,Востоковедение и африканистика,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,130032,0.0,0.0,0.0,0.0,0.0,0.0,gale812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3229,studen18hc2jg0000leqqfopftvfl3fo,uncass18ggl5g0000kagdd2gqqkqmg8c,госбюджетное место,Государственного управления и предпринимательства,Маркетинговых коммуникаций и брендинга,2,2016,2.0,75.69,75.69,42.00.00,42.04.01,Реклама и связи с общественностью,68,Магистр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154228,0.0,0.0,0.0,0.0,0.0,0.0,psngov66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210526316,0.0,0.305555556
416,studen18ggl5g0000kvjt1r3sccnerms,uncass18ggl5g0000kaq58q3ikk2rn18,сверхплановое место,Новых материалов и технологий,Металлургии и металловедения,3,2015,3.6,0.0,0.0,22.00.00,22.03.02,Металлургия,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,122687,0.0,0.989473684,0.0,0.61186555,0.953277311,0.0,AndreiiEkaterinaStafeevy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145,studen18ggl5g0000ku9je2iaof1hfcg,uncass18ggl5g0000kco81g4el1jrrrs,госбюджетное место,Физико-технологический,0,3,2015,5.0,62.71,67.44,14.00.00,14.05.04,Электроника и автоматика физических установок,65,Специалист,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835,0.0,0.0,0.0,0.0,0.0,0.0,dkiryanow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3785,studen18ggl5g0000ku9j1viloa670s4,uncass18ggl5g0000kaip0ou5eov07bs,госбюджетное место,Физико-технологический,0,3,2015,4.0,59.12,63.16,11.00.00,11.03.04,Электроника и наноэлектроника,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217808,0.0,0.0,0.0,0.0,0.0,0.0,murzik1799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3530,studen18ggl5g0000kv0uvsv825ioas0,uncass18hc2jg0000lavad720t6jr0p4,госбюджетное место,Высшая школа экономики и менеджмента,Центр заочного и дистанционного обучения,3,2015,4.6,0.0,0.0,38.00.00,38.03.02,Менеджмент,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285036,0.0,0.0,0.0,0.0,0.0,0.0,geniatulina166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3472,studen18ggl5g0000kuerlung74fcdog,uncass18ggl5g0000kaio552smv9cm3o,сверхплановое место,Уральский энергетический,0,3,2015,4.0,42.08,0.0,13.00.00,13.03.02,Электроэнергетика и электротехника,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200578,0.0,0.0,0.0,0.0,0.0,0.0,kanan1,0.0,0.254724112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392576313,0.0,0.0,0.0
2783,studen18ggl5g0000k1icfmnf0igj42g,uncass18ggl5g0000kail4d1g44ti8bs,сверхплановое место,Строительный,0,3,2015,5.0,0.0,0.0,08.00.00,08.03.01,Строительство,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210114,0.0,0.0,0.0,0.0,0.0,0.0,isyrkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923077,0.0
4267,studen18hc2jg0000ls154ueri78a9os,uncass18ggl5g0000kaqtoifu43hgueo,госбюджетное место,Естественных наук и математики,Школа бакалавриата (ЕНиМ),1,2017,4.0,0.0,0.0,04.00.00,04.03.01,Химия,62,Бакалавр,Очная,0,0.0,0.0,53.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229920,0.0,0.0,0.0,0.0,0.0,0.0,fedorovais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1711,studen18ggl5g0000kvru912tjad6jss,uncass18ggl5g0000klpsikee9c0cs5s,сверхплановое место,Филиал г.Краснотурьинск,0,3,2015,3.6,0.0,0.0,13.00.00,13.03.03,Энергетическое машиностроение,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,1.0,53301,0.0,0.0,0.0,0.0,0.0,0.0,Vladimir_Boltov,0.0,0.0,0.0,0.0,0.0,0.95228891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5225,studen18hc2jg0000ld5lq3dsv1uehjk,uncass18ggl5g0000kail4ukqj1d8dq0,госбюджетное место,Строительный,0,2,2016,6.0,83.89,83.89,08.00.00,08.05.01,Строительство уникальных зданий и сооружений,65,Специалист,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290852,0.0,0.0,0.0,0.0,0.0,0.0,Dubinina_Irina,1.0,0.968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975470085,0.0,0.0,0.0
2156,studen18ggl5g0000ku9pqikd3cdr90k,uncass18hc2jg0000l8o2518mqa0or90,госбюджетное место,Высшая школа экономики и менеджмента,Менеджмента,3,2015,4.0,75.32,0.0,38.00.00,38.03.02,Менеджмент,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191312,0.0,0.0,0.0,0.0,0.0,0.0,DariaT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3681,studen18hc2jg0000ld4o86lec5q7ggk,uncass18ggl5g0000kaine6felfa21hg,госбюджетное место,Новых материалов и технологий,Машиностроения,2,2016,4.0,89.23,89.23,15.00.00,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,61,Прикладной бакалавриат,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281743,0.0,0.0,0.0,0.0,0.0,0.0,catherinetom,0.7777777779999999,0.880952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992592593,0.0,0.0,0.0
