index,Направление,Основа,Формирующее подразделение (институт),Формирующее подразделение (департамент),Курс,Год начала,Срок освоения,Средняя оценка ,Средняя оценка по первой сдаче,Код,ОКСО,Направление.1,Уровеь,Уровень,Форма,Олимпиада,Физическая культура,Рисунок,Химия,География,Информатика и ИКТ,История,Математика,Композиционный рисунок,Композиция,Рисунок и композиция,Русский язык,Творческий конкурс,Собеседование,Филология (отечественная),Творческое сочинение,Литература,Филология,Биология,Физика,Академический рисунок,Обществознание,Английский язык,Вступительный экзамен по программе,Иностранный язык,История искусств,id,username
16,76,0,8,0,3,2015,4.0,66.06,0.0,12,47,100,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,199412,896
17,254,0,4,6,3,2015,4.0,64.73,66.71,20,76,43,61,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179871,699
18,60,0,6,0,2,2016,5.0,0.0,0.0,7,19,70,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,218384,717
19,72,0,4,11,2,2016,4.0,64.43,66.27,21,79,46,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,282274,315
20,60,0,6,0,3,2015,4.0,79.19,80.79,7,19,70,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,187232,251
21,38,0,13,0,4,2014,4.0,83.79,91.78,16,64,90,62,1,1,0,0.0,0.0,67.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214857,938
22,186,1,7,23,1,2017,4.0,0.0,0.0,32,132,88,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,225831,265
23,68,0,4,11,3,2015,5.0,0.0,0.0,14,58,0,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,49484,988
24,67,0,4,11,2,2016,4.0,57.99,57.99,14,57,74,61,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298469,508
25,47,0,7,17,2,2016,2.0,78.65,78.65,28,113,65,68,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193172,809
26,27,0,4,6,1,2017,2.0,0.0,0.0,20,77,36,68,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201281,60
27,38,0,13,0,2,2016,4.0,77.96,77.96,16,64,90,62,1,1,0,0.0,0.0,77.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174634,854
28,80,0,8,0,2,2016,5.5,71.72,71.72,13,55,2,65,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291740,1110
29,140,0,7,17,1,2017,4.0,0.0,0.0,29,118,51,62,1,1,0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,228197,250
30,70,0,4,11,2,2016,4.5,0.0,0.0,14,59,29,61,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284078,2
31,1,0,4,14,5,2013,5.0,0.0,0.0,20,76,43,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111686,557
32,186,1,7,23,1,2017,4.0,0.0,0.0,32,132,88,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,73079,828
33,114,0,4,14,2,2016,4.0,71.33,0.0,20,75,36,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,255504,241
34,240,1,0,26,3,2015,4.6,0.0,0.0,27,97,95,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,99178,613
35,138,0,7,24,3,2015,4.0,76.53,76.53,34,140,86,62,1,1,0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,326929,284
36,66,0,4,11,3,2015,5.0,0.0,0.0,14,57,74,62,1,0,0,0.0,0.0,45.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49361,349
37,165,1,3,16,4,2014,5.0,0.0,0.0,7,19,70,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,30407,1101
38,60,1,6,0,3,2015,4.0,53.29,70.22,7,19,70,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,28035,1075
39,168,1,1,4,4,2014,4.0,83.66,82.98,27,100,11,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,326497,441
40,157,1,7,22,4,2014,5.0,0.0,0.0,27,99,82,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,173374,949
41,61,1,6,0,3,2015,6.0,48.42,53.41,7,21,71,65,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82512,539
42,154,1,7,21,2,2016,4.0,70.57,70.78,30,123,14,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,42.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68597,707
43,60,1,6,0,4,2014,3.6,0.0,0.0,7,19,70,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70942,224
44,134,1,2,28,4,2014,4.0,58.27,57.98,3,12,92,62,1,1,0,0.0,0.0,53.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279175,1007
45,152,1,7,12,4,2014,4.0,82.49,82.49,29,117,9,62,1,1,0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,302345,414
46,80,0,8,0,2,2016,5.5,79.77,79.77,13,55,2,65,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295675,194
47,112,1,4,14,3,2015,3.6,0.0,0.0,20,76,43,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,198572,91
48,117,0,4,14,4,2014,4.0,53.27,73.8,8,23,22,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,199151,244
49,131,0,2,28,3,2015,4.0,49.42,0.0,2,10,83,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,203319,80
50,125,0,0,5,4,2014,4.0,81.52,81.52,27,98,42,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,226001,880
51,230,0,4,2,2,2016,3.2,0.0,0.0,14,57,74,61,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215471,8
52,114,0,4,14,4,2014,4.0,81.95,82.08,20,75,36,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,179692,3
53,96,0,5,27,2,2016,4.0,64.4,67.58,8,23,22,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,3183,426
54,86,0,9,0,1,2017,4.0,0.0,0.0,13,52,104,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,322953,211
55,157,1,7,22,2,2016,3.6,0.0,0.0,27,99,82,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,309460,184
56,117,0,4,14,4,2014,4.0,44.23,0.0,8,23,22,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,123738,751
57,56,1,7,22,1,2017,2.0,0.0,0.0,38,153,12,68,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163811,1013
58,38,0,13,0,4,2014,4.0,74.48,78.09,16,64,90,62,1,1,0,0.0,0.0,59.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98097,981
59,68,0,4,11,3,2015,5.0,0.0,0.0,14,58,0,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,258308,23
60,70,0,4,11,2,2016,5.0,55.75,0.0,14,59,29,61,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326501,454
61,70,0,4,11,3,2015,4.0,82.26,82.26,14,59,29,61,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83885,56
62,152,1,7,12,4,2014,4.0,82.49,82.49,29,117,9,62,1,1,0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,5708,473
63,257,0,1,10,2,2016,3.0,0.0,0.0,32,135,105,70,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597,1032
64,158,0,7,22,2,2016,4.0,82.51,83.53,31,127,63,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,154932,775
65,157,1,7,22,4,2014,3.6,0.0,0.0,27,99,82,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55640,980
66,140,0,7,17,4,2014,4.0,89.06,89.06,29,118,51,62,1,1,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,295062,970
67,64,0,4,11,3,2015,4.0,83.53,83.53,14,56,37,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,83664,87
68,232,1,0,3,1,2017,5.0,0.0,0.0,27,108,96,65,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271859,506
69,66,0,4,11,3,2015,5.0,0.0,0.0,14,57,74,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,49368,548
70,250,0,1,4,3,2015,3.0,0.0,0.0,28,115,67,70,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185799,287
71,60,1,6,0,3,2015,3.6,0.0,0.0,7,19,70,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,89516,481
72,6,0,4,11,5,2013,5.0,0.0,0.0,21,79,46,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,118266,4
73,220,0,0,31,4,2014,4.0,85.69,86.39,27,97,95,62,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,285436,910
74,66,1,4,11,3,2015,3.6,0.0,0.0,14,57,74,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82381,946
75,41,0,9,0,2,2016,2.0,73.76,79.54,8,26,22,68,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13009,178
76,183,0,2,28,2,2016,6.0,71.66,71.66,25,92,40,65,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33176,591
77,60,0,6,0,3,2015,4.0,80.77,80.07,7,19,70,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,177901,210
78,114,0,4,14,4,2014,4.0,43.61,56.41,20,75,36,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170142,1046
79,256,1,7,8,4,2014,4.0,69.54,70.57,31,127,63,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,85102,765
80,175,0,4,6,1,2017,2.0,0.0,0.0,8,26,22,68,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180993,937
81,170,0,9,0,1,2017,5.5,0.0,0.0,13,54,103,65,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150886,13
82,104,1,2,28,4,2014,5.0,0.0,0.0,8,24,53,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229375,1098
83,77,1,8,0,2,2016,3.6,0.0,0.0,12,48,101,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,227494,392
84,70,0,4,11,4,2014,4.0,80.11,80.94,14,59,29,61,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84972,643
85,97,0,5,27,2,2016,5.0,0.0,0.0,10,33,59,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,276622,1051
86,210,1,0,18,1,2017,2.6,0.0,0.0,27,103,95,68,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311277,10
87,144,0,7,22,2,2016,4.0,74.95,79.4,37,150,66,62,1,1,0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55328,90
88,66,1,4,11,2,2016,3.6,0.0,0.0,14,57,74,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,224886,1073
89,76,0,8,0,3,2015,4.0,79.94,0.0,12,47,100,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,189016,434
90,60,0,6,0,3,2015,4.0,76.02,78.53,7,19,70,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,287930,155
